X,Y,id,left,top,right,bottom,row_index,col_index
295614.306578558,1616930.33248061,11144,295614.306578558,1616930.33248061,295664.306578558,1616980.33248061,455,16
295614.306578558,1616880.33248061,11145,295614.306578558,1616880.33248061,295664.306578558,1616930.33248061,456,16
295614.306578558,1616830.33248061,11146,295614.306578558,1616830.33248061,295664.306578558,1616880.33248061,457,16
295614.306578558,1616780.33248061,11147,295614.306578558,1616780.33248061,295664.306578558,1616830.33248061,458,16
295614.306578558,1616730.33248061,11148,295614.306578558,1616730.33248061,295664.306578558,1616780.33248061,459,16
295614.306578558,1616680.33248061,11149,295614.306578558,1616680.33248061,295664.306578558,1616730.33248061,460,16
295614.306578558,1616580.33248061,11151,295614.306578558,1616580.33248061,295664.306578558,1616630.33248061,462,16
295614.306578558,1610680.33248061,11269,295614.306578558,1610680.33248061,295664.306578558,1610730.33248061,580,16
295614.306578558,1610530.33248061,11272,295614.306578558,1610530.33248061,295664.306578558,1610580.33248061,583,16
295614.306578558,1610330.33248061,11276,295614.306578558,1610330.33248061,295664.306578558,1610380.33248061,587,16
295614.306578558,1610130.33248061,11280,295614.306578558,1610130.33248061,295664.306578558,1610180.33248061,591,16
295614.306578558,1610030.33248061,11282,295614.306578558,1610030.33248061,295664.306578558,1610080.33248061,593,16
295614.306578558,1609880.33248061,11285,295614.306578558,1609880.33248061,295664.306578558,1609930.33248061,596,16
295614.306578558,1609830.33248061,11286,295614.306578558,1609830.33248061,295664.306578558,1609880.33248061,597,16
295614.306578558,1609780.33248061,11287,295614.306578558,1609780.33248061,295664.306578558,1609830.33248061,598,16
295614.306578558,1606930.33248061,11344,295614.306578558,1606930.33248061,295664.306578558,1606980.33248061,655,16
295614.306578558,1606730.33248061,11348,295614.306578558,1606730.33248061,295664.306578558,1606780.33248061,659,16
295664.306578558,1617130.33248061,11808,295664.306578558,1617130.33248061,295714.306578558,1617180.33248061,451,17
295664.306578558,1617030.33248061,11810,295664.306578558,1617030.33248061,295714.306578558,1617080.33248061,453,17
295664.306578558,1616880.33248061,11813,295664.306578558,1616880.33248061,295714.306578558,1616930.33248061,456,17
295664.306578558,1616730.33248061,11816,295664.306578558,1616730.33248061,295714.306578558,1616780.33248061,459,17
