X,Y,id,left,top,right,bottom,row_index,col_index
296314.306578558,1611580.33248061,5292,296314.306578558,1611580.33248061,296414.306578558,1611680.33248061,281,15
296314.306578558,1609380.33248061,5314,296314.306578558,1609380.33248061,296414.306578558,1609480.33248061,303,15
296314.306578558,1608980.33248061,5318,296314.306578558,1608980.33248061,296414.306578558,1609080.33248061,307,15
296314.306578558,1608580.33248061,5322,296314.306578558,1608580.33248061,296414.306578558,1608680.33248061,311,15
296314.306578558,1607980.33248061,5328,296314.306578558,1607980.33248061,296414.306578558,1608080.33248061,317,15
296314.306578558,1607880.33248061,5329,296314.306578558,1607880.33248061,296414.306578558,1607980.33248061,318,15
296314.306578558,1607780.33248061,5330,296314.306578558,1607780.33248061,296414.306578558,1607880.33248061,319,15
296314.306578558,1607680.33248061,5331,296314.306578558,1607680.33248061,296414.306578558,1607780.33248061,320,15
296314.306578558,1607580.33248061,5332,296314.306578558,1607580.33248061,296414.306578558,1607680.33248061,321,15
296314.306578558,1606680.33248061,5341,296314.306578558,1606680.33248061,296414.306578558,1606780.33248061,330,15
296414.306578558,1623180.33248061,5510,296414.306578558,1623180.33248061,296514.306578558,1623280.33248061,165,16
296414.306578558,1618580.33248061,5556,296414.306578558,1618580.33248061,296514.306578558,1618680.33248061,211,16
296414.306578558,1617380.33248061,5568,296414.306578558,1617380.33248061,296514.306578558,1617480.33248061,223,16
296414.306578558,1617280.33248061,5569,296414.306578558,1617280.33248061,296514.306578558,1617380.33248061,224,16
296414.306578558,1616580.33248061,5576,296414.306578558,1616580.33248061,296514.306578558,1616680.33248061,231,16
296414.306578558,1614380.33248061,5598,296414.306578558,1614380.33248061,296514.306578558,1614480.33248061,253,16
296414.306578558,1612580.33248061,5616,296414.306578558,1612580.33248061,296514.306578558,1612680.33248061,271,16
296414.306578558,1612280.33248061,5619,296414.306578558,1612280.33248061,296514.306578558,1612380.33248061,274,16
296414.306578558,1610180.33248061,5640,296414.306578558,1610180.33248061,296514.306578558,1610280.33248061,295,16
296414.306578558,1610080.33248061,5641,296414.306578558,1610080.33248061,296514.306578558,1610180.33248061,296,16
296414.306578558,1609980.33248061,5642,296414.306578558,1609980.33248061,296514.306578558,1610080.33248061,297,16
296414.306578558,1609780.33248061,5644,296414.306578558,1609780.33248061,296514.306578558,1609880.33248061,299,16
296414.306578558,1609680.33248061,5645,296414.306578558,1609680.33248061,296514.306578558,1609780.33248061,300,16
296414.306578558,1609380.33248061,5648,296414.306578558,1609380.33248061,296514.306578558,1609480.33248061,303,16
