X,Y,id,left,top,right,bottom,row_index,col_index
278815.0,1627235.4414,5523,278815,1627235.4414,279015,1627435.4414,62,21
278815.0,1627035.4414,5524,278815,1627035.4414,279015,1627235.4414,63,21
278815.0,1626835.4414,5525,278815,1626835.4414,279015,1627035.4414,64,21
278815.0,1623435.4414,5542,278815,1623435.4414,279015,1623635.4414,81,21
278815.0,1623035.4414,5544,278815,1623035.4414,279015,1623235.4414,83,21
278815.0,1622635.4414,5546,278815,1622635.4414,279015,1622835.4414,85,21
278815.0,1621835.4414,5550,278815,1621835.4414,279015,1622035.4414,89,21
278815.0,1621635.4414,5551,278815,1621635.4414,279015,1621835.4414,90,21
278815.0,1614835.4414,5585,278815,1614835.4414,279015,1615035.4414,124,21
279015.0,1628235.4414,5778,279015,1628235.4414,279215,1628435.4414,57,22
279015.0,1627835.4414,5780,279015,1627835.4414,279215,1628035.4414,59,22
279015.0,1627235.4414,5783,279015,1627235.4414,279215,1627435.4414,62,22
279015.0,1627035.4414,5784,279015,1627035.4414,279215,1627235.4414,63,22
279015.0,1626635.4414,5786,279015,1626635.4414,279215,1626835.4414,65,22
279015.0,1626435.4414,5787,279015,1626435.4414,279215,1626635.4414,66,22
279015.0,1622835.4414,5805,279015,1622835.4414,279215,1623035.4414,84,22
279015.0,1622635.4414,5806,279015,1622635.4414,279215,1622835.4414,85,22
279015.0,1622435.4414,5807,279015,1622435.4414,279215,1622635.4414,86,22
279015.0,1620635.4414,5816,279015,1620635.4414,279215,1620835.4414,95,22
279215.0,1627635.4414,6041,279215,1627635.4414,279415,1627835.4414,60,23
279215.0,1627435.4414,6042,279215,1627435.4414,279415,1627635.4414,61,23
279215.0,1627035.4414,6044,279215,1627035.4414,279415,1627235.4414,63,23
279215.0,1626435.4414,6047,279215,1626435.4414,279415,1626635.4414,66,23
279215.0,1626035.4414,6049,279215,1626035.4414,279415,1626235.4414,68,23
279215.0,1625235.4414,6053,279215,1625235.4414,279415,1625435.4414,72,23
279215.0,1623635.4414,6061,279215,1623635.4414,279415,1623835.4414,80,23
279215.0,1621835.4414,6070,279215,1621835.4414,279415,1622035.4414,89,23
279215.0,1621635.4414,6071,279215,1621635.4414,279415,1621835.4414,90,23
279215.0,1621035.4414,6074,279215,1621035.4414,279415,1621235.4414,93,23
279215.0,1620435.4414,6077,279215,1620435.4414,279415,1620635.4414,96,23
279215.0,1618635.4414,6086,279215,1618635.4414,279415,1618835.4414,105,23
279215.0,1614835.4414,6105,279215,1614835.4414,279415,1615035.4414,124,23
279415.0,1627435.4414,6302,279415,1627435.4414,279615,1627635.4414,61,24
279415.0,1627035.4414,6304,279415,1627035.4414,279615,1627235.4414,63,24
279415.0,1626835.4414,6305,279415,1626835.4414,279615,1627035.4414,64,24
279415.0,1625835.4414,6310,279415,1625835.4414,279615,1626035.4414,69,24
279415.0,1625235.4414,6313,279415,1625235.4414,279615,1625435.4414,72,24
279415.0,1624835.4414,6315,279415,1624835.4414,279615,1625035.4414,74,24
279415.0,1623035.4414,6324,279415,1623035.4414,279615,1623235.4414,83,24
